source_file,start_time,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,parser,parse_error
455838018815688707.fit,2023-10-24 04:54:10+00:00,running,,8.72,5650,149,190,28,fitdecode,
455883379039043584.fit,2023-10-26 03:17:59+00:00,running,,12.84,7621,150,177,117,fitdecode,
455906167330209792.fit,2023-10-27 03:49:48+00:00,running,,6.02,4206,124,137,37,fitdecode,
455925985114619906.fit,2023-10-28 00:07:16+00:00,running,,6.24,4985,121,144,79,fitdecode,
455953739461722112.fit,2023-10-28 23:02:05+00:00,running,,9.14,6956,123,147,114,fitdecode,
455970052552818688.fit,2023-10-29 22:06:46+00:00,running,,4.60,3585,125,143,49,fitdecode,
456075974230966277.fit,2023-11-03 11:14:52+00:00,running,,7.33,4490,139,165,127,fitdecode,
456097750520463361.fit,2023-11-04 10:45:21,running,,3.16,1790,133,155,2,fitparse,
456129153173848065.fit,2023-11-05 15:23:38,running,,26.59,13988,162,183,286,fitparse,
456548446940200960.fit,2023-11-23 21:03:54,running,,3.20,2049,149,166,28,fitparse,
456597216562282496.fit,2023-11-25 23:33:05,running,,3.14,1981,145,161,24,fitparse,
456613888014712832.fit,2023-11-26 16:40:59,running,,4.00,2414,147,161,24,fitparse,
456712300210978816.fit,2023-11-30 22:38:19,running,,3.15,1971,136,150,30,fitparse,
457619260938682368.fit,2024-01-09 00:26:17,running,,4.02,2490,147,171,,fitparse,
457727274802774021.fit,2024-01-12 22:02:08+00:00,running,,3.03,1955,143,169,30,fitdecode,
457728172182503425.fit,2024-01-13 17:49:39,running,,3.15,1952,148,166,19,fitparse,
457751373058965505.fit,2024-01-14 17:20:22,running,,6.00,3830,145,180,16,fitparse,
457853207001989121.fit,2024-01-17 19:11:18+00:00,running,,4.08,2691,141,166,30,fitdecode,
457853207270424576.fit,2024-01-19 03:01:16,running,,3.21,1983,149,165,17,fitparse,
457875857317330944.fit,2024-01-20 02:24:17+00:00,running,,4.04,2549,146,164,27,fitdecode,
458593771301404672.fit,2024-01-20 17:13:42+00:00,running,,4.01,2484,150,185,22,fitdecode,
458594765049462784.fit,2024-02-20 02:35:57,running,,3.15,1995,153,169,19,fitparse,
458733625368674304.fit,2024-02-26 02:09:03,running,,3.13,2005,146,168,27,fitparse,
458877194851090432.fit,2024-02-27 04:33:00,running,,4.45,2526,162,191,,fitparse,
458877194851090433.fit,2024-03-03 02:05:21+00:00,running,,2.40,1756,150,179,21,fitdecode,
458888348612722688.fit,2024-03-03 15:40:53,running,,1.49,958,159,177,10,fitparse,
458888348612722690.fit,2024-03-03 16:45:35,running,,6.28,3318,180,194,13,fitparse,
458984977860689920.fit,2024-03-05 22:00:07,running,,3.10,1935,152,182,,fitparse,
458984977860689921.fit,2024-03-07 03:43:25+00:00,running,,3.35,2199,148,163,21,fitdecode,
459212255450398720.fit,2024-03-17 17:21:45+00:00,running,,3.56,2269,152,185,17,fitdecode,
459291450352369664.fit,2024-03-21 03:08:51,running,,4.35,2674,155,184,,fitparse,
459314050470281217.fit,2024-03-22 02:33:29+00:00,running,,5.05,3306,151,164,27,fitdecode,
459336958752096256.fit,2024-03-23 02:16:29+00:00,running,,5.08,3259,155,171,30,fitdecode,
459360364176375829.fit,2024-03-24 02:30:39+00:00,running,,4.07,2622,148,161,25,fitdecode,
459453935944499200.fit,2024-03-28 02:11:28,running,,5.01,3127,161,184,14,fitparse,
459478121442213888.fit,2024-03-29 03:43:55+00:00,running,,6.00,3826,154,170,39,fitdecode,
459500101205786626.fit,2024-03-30 02:30:46+00:00,running,,6.02,3875,153,170,35,fitdecode,
